Variant_Classification,MAD1L1..ENSG00000002822.,ITGA3..ENSG00000005884.,MYH13..ENSG00000006788.,GAS7..ENSG00000007237.,REV3L..ENSG00000009413.,TSPAN9..ENSG00000011105.,RNF216..ENSG00000011275.,CEP68..ENSG00000011523.,BRCA1..ENSG00000012048.,ALOX5..ENSG00000012779.,SAMD4A..ENSG00000020577.,DERA..ENSG00000023697.,PRKCH..ENSG00000027075.,POU2F2..ENSG00000028277.,MAP2K3..ENSG00000034152.,TRIO..ENSG00000038382.,CTNNA1..ENSG00000044115.,MAP4..ENSG00000047849.,RRM2B..ENSG00000048392.,KITLG..ENSG00000049130.,ARID1B..ENSG00000049618.,NEDD4L..ENSG00000049759.,BCAR1..ENSG00000050820.,FOXN3..ENSG00000053254.,HHAT..ENSG00000054392.,SYNE2..ENSG00000054654.,CYFIP2..ENSG00000055163.,TAB2..ENSG00000055208.,USP36..ENSG00000055483.,NPFFR2..ENSG00000056291.,TRAF3IP2..ENSG00000056972.,PRDM1..ENSG00000057657.,YBX3..ENSG00000060138.,PTPRU..ENSG00000060656.,SFSWAP..ENSG00000061936.,VMP1..ENSG00000062716.,POLD1..ENSG00000062822.,GPC1..ENSG00000063660.,LIMCH1..ENSG00000064042.,HIPK2..ENSG00000064393.,UHRF1BP1..ENSG00000065060.,MYLK..ENSG00000065534.,NFYC..ENSG00000066136.,PKM..ENSG00000067225.,NAV3..ENSG00000067798.,HDAC4..ENSG00000068024.,RASSF1..ENSG00000068028.,INPP5A..ENSG00000068383.,TTC7A..ENSG00000068724.,MAST4..ENSG00000069020.,BCL3..ENSG00000069399.,SMG6..ENSG00000070366.,NDST1..ENSG00000070614.,OSBPL3..ENSG00000070882.,MAP4K4..ENSG00000071054.,MYO3B..ENSG00000071909.,STK10..ENSG00000072786.,EVC..ENSG00000072840.,IGF2BP2..ENSG00000073792.,GLI2..ENSG00000074047.,ARHGEF10L..ENSG00000074964.,FNDC3B..ENSG00000075420.,ACTB..ENSG00000075624.,PLD1..ENSG00000075651.,DLG1..ENSG00000075711.,PLXNA2..ENSG00000076356.,TPD52..ENSG00000076554.,TRAF4..ENSG00000076604.,ARHGEF1..ENSG00000076928.,POLD3..ENSG00000077514.,FBLN1..ENSG00000077942.,SYNJ2..ENSG00000078269.,TP73..ENSG00000078900.,TNS1..ENSG00000079308.,CIC..ENSG00000079432.,SESN1..ENSG00000080546.,XPO1..ENSG00000082898.,FAT1..ENSG00000083857.,SSH1..ENSG00000084112.,GSTP1..ENSG00000084207.,CD82..ENSG00000085117.,MECOM..ENSG00000085276.,BAX..ENSG00000087088.,MMP2..ENSG00000087245.,FUS..ENSG00000089280.,BIRC5..ENSG00000089685.,P3H2..ENSG00000090530.,RAPGEF4..ENSG00000091428.,ESR1..ENSG00000091831.,EFHC1..ENSG00000096093.,HSP90AB1..ENSG00000096384.,ABLIM1..ENSG00000099204.,MED15..ENSG00000099917.,TRIOBP..ENSG00000100106.,MICALL1..ENSG00000100139.,PACSIN2..ENSG00000100266.,MCAT..ENSG00000100294.,APOBEC3H..ENSG00000100298.,MYH9..ENSG00000100345.,RIN3..ENSG00000100599.,SRSF5..ENSG00000100650.,PCNX1..ENSG00000100731.,PPP4R3A..ENSG00000100796.,DHRS2..ENSG00000100867.,UQCC1..ENSG00000101019.,ZMYND8..ENSG00000101040.,HNF4A..ENSG00000101076.,E2F1..ENSG00000101412.,MID1..ENSG00000101871.,ELF4..ENSG00000102034.,FLT1..ENSG00000102755.,MGRN1..ENSG00000102858.,VAC14..ENSG00000103043.,DTWD1..ENSG00000104047.,RP1..ENSG00000104237.,GML..ENSG00000104499.,TNFRSF10A..ENSG00000104689.,CKM..ENSG00000104879.,HNRNPUL1..ENSG00000105323.,BBC3..ENSG00000105327.,DENND3..ENSG00000105339.,RPS19..ENSG00000105372.,SLC5A5..ENSG00000105641.,PDE4C..ENSG00000105650.,ELL..ENSG00000105656.,CDK6..ENSG00000105810.,CAV1..ENSG00000105974.,MET..ENSG00000105976.,DNAJB6..ENSG00000105993.,CHN2..ENSG00000106069.,COBL..ENSG00000106078.,SERPINE1..ENSG00000106366.,EZH2..ENSG00000106462.,GLI3..ENSG00000106571.,PRKAG2..ENSG00000106617.,SUSD1..ENSG00000106868.,KDM4C..ENSG00000107077.,GLIS3..ENSG00000107249.,RAPGEF1..ENSG00000107263.,PDLIM1..ENSG00000107438.,ACTA2..ENSG00000107796.,DKK1..ENSG00000107984.,ZMIZ1..ENSG00000108175.,TSPAN14..ENSG00000108219.,COL1A1..ENSG00000108821.,NFKB1..ENSG00000109320.,FBXW7..ENSG00000109670.,PPARGC1A..ENSG00000109819.,KMT5B..ENSG00000110066.,CCND1..ENSG00000110092.,NECTIN1..ENSG00000110400.,FOXM1..ENSG00000111206.,CDKN1B..ENSG00000111276.,APOBEC1..ENSG00000111701.,PRKAB1..ENSG00000111725.,DSE..ENSG00000111817.,CEP85L..ENSG00000111860.,SASH1..ENSG00000111961.,E2F3..ENSG00000112242.,PTP4A1..ENSG00000112245.,PTK7..ENSG00000112655.,TMEM30A..ENSG00000112697.,VEGFA..ENSG00000112715.,PDE4D..ENSG00000113448.,CSNK1A1..ENSG00000113712.,ERGIC1..ENSG00000113719.,PDGFRB..ENSG00000113721.,OGG1..ENSG00000114026.,KPNA1..ENSG00000114030.,GBE1..ENSG00000114480.,PLXNA1..ENSG00000114554.,FOXP1..ENSG00000114861.,TP53I3..ENSG00000115129.,RTN4..ENSG00000115310.,STAT1..ENSG00000115415.,USP34..ENSG00000115464.,FHL2..ENSG00000115641.,ID2..ENSG00000115738.,GADD45A..ENSG00000116717.,ADGRL2..ENSG00000117114.,CTBS..ENSG00000117151.,ECE1..ENSG00000117298.,SLC2A1..ENSG00000117394.,ARID1A..ENSG00000117713.,ESYT2..ENSG00000117868.,STK11..ENSG00000118046.,NRP2..ENSG00000118257.,PLAGL1..ENSG00000118495.,FOXO3..ENSG00000118689.,PPL..ENSG00000118898.,HS1BP3..ENSG00000118960.,PTPA..ENSG00000119383.,TRIM32..ENSG00000119401.,PGF..ENSG00000119630.,DUSP1..ENSG00000120129.,MTHFD1L..ENSG00000120254.,KIAA1217..ENSG00000120549.,KBTBD7..ENSG00000120696.,TGFBI..ENSG00000120708.,EGR1..ENSG00000120738.,APAF1..ENSG00000120868.,TNFRSF10B..ENSG00000120889.,ADGRB2..ENSG00000121753.,ZMIZ2..ENSG00000122515.,CALD1..ENSG00000122786.,RBM19..ENSG00000122965.,CDK2..ENSG00000123374.,LRP1..ENSG00000123384.,METTL8..ENSG00000123600.,SLC12A4..ENSG00000124067.,TOX2..ENSG00000124191.,USP9X..ENSG00000124486.,CDKN1A..ENSG00000124762.,AHNAK..ENSG00000124942.,BMP4..ENSG00000125378.,DDX31..ENSG00000125485.,EML2..ENSG00000125746.,PANK2..ENSG00000125779.,ID1..ENSG00000125968.,AHDC1..ENSG00000126705.,EDN2..ENSG00000127129.,KLF2..ENSG00000127528.,MACF1..ENSG00000127603.,KDM4B..ENSG00000127663.,GNAI1..ENSG00000127955.,LIF..ENSG00000128342.,ARHGAP22..ENSG00000128805.,PALLD..ENSG00000129116.,REEP5..ENSG00000129625.,ITFG1..ENSG00000129636.,SEC14L1..ENSG00000129657.,SH3BP4..ENSG00000130147.,PXDN..ENSG00000130508.,GDF15..ENSG00000130513.,PGPEP1..ENSG00000130517.,COL5A1..ENSG00000130635.,DNMT1..ENSG00000130816.,CASZ1..ENSG00000130940.,SYNE1..ENSG00000131018.,GSE1..ENSG00000131149.,SLC6A6..ENSG00000131389.,EXOC4..ENSG00000131558.,PIAS3..ENSG00000131788.,TRIM22..ENSG00000132274.,EFR3A..ENSG00000132294.,PER2..ENSG00000132326.,PCNA..ENSG00000132646.,APCS..ENSG00000132703.,MPRIP..ENSG00000133030.,CCNA1..ENSG00000133101.,AMPD3..ENSG00000133805.,SBF2..ENSG00000133812.,MICAL2..ENSG00000133816.,CCNB1..ENSG00000134057.,BHLHE40..ENSG00000134107.,VAV3..ENSG00000134215.,FST..ENSG00000134363.,NAV1..ENSG00000134369.,KCTD1..ENSG00000134504.,CABLES1..ENSG00000134508.,DDB2..ENSG00000134574.,FHOD3..ENSG00000134775.,COL4A2..ENSG00000134871.,CDK4..ENSG00000135446.,MDM2..ENSG00000135679.,DOCK10..ENSG00000135905.,CAB39..ENSG00000135932.,MED4..ENSG00000136146.,TNS3..ENSG00000136205.,GPNMB..ENSG00000136235.,DAB2IP..ENSG00000136848.,CDK5RAP2..ENSG00000136861.,GABBR2..ENSG00000136928.,MYC..ENSG00000136997.,IER3..ENSG00000137331.,CASP1..ENSG00000137752.,BCAR3..ENSG00000137936.,TACC2..ENSG00000138162.,SEC31A..ENSG00000138674.,ETV6..ENSG00000139083.,AEBP2..ENSG00000139154.,LRIG3..ENSG00000139263.,BRCA2..ENSG00000139618.,RB1..ENSG00000139687.,FRMD6..ENSG00000139926.,TCF12..ENSG00000140262.,IGF1R..ENSG00000140443.,PML..ENSG00000140464.,FTO..ENSG00000140718.,CDH11..ENSG00000140937.,CDH13..ENSG00000140945.,BCAS3..ENSG00000141376.,RPTOR..ENSG00000141564.,ZCCHC2..ENSG00000141664.,CACNA1A..ENSG00000141837.,BRD4..ENSG00000141867.,NFIC..ENSG00000141905.,AKT1..ENSG00000142208.,CARM1..ENSG00000142453.,RERE..ENSG00000142599.,FHAD1..ENSG00000142621.,EPHA2..ENSG00000142627.,HSPG2..ENSG00000142798.,PTPRF..ENSG00000142949.,SLC44A3..ENSG00000143036.,MCL1..ENSG00000143384.,KCNN3..ENSG00000143603.,SNAP47..ENSG00000143740.,VGLL4..ENSG00000144560.,RBMS3..ENSG00000144642.,LPP..ENSG00000145012.,PLAC8..ENSG00000145287.,GC..ENSG00000145321.,CAMK2D..ENSG00000145349.,CCNA2..ENSG00000145386.,PDGFC..ENSG00000145431.,PLK2..ENSG00000145632.,TNFAIP8..ENSG00000145779.,ARHGAP26..ENSG00000145819.,TENM2..ENSG00000145934.,SDK1..ENSG00000146555.,CREB5..ENSG00000146592.,IGFBP3..ENSG00000146674.,RGS20..ENSG00000147509.,TRIM55..ENSG00000147573.,GSN..ENSG00000148180.,ASTN2..ENSG00000148219.,FAM13C..ENSG00000148541.,ANKRD1..ENSG00000148677.,DNAJB12..ENSG00000148719.,TCF7L2..ENSG00000148737.,MKI67..ENSG00000148773.,SYT8..ENSG00000149043.,TENM4..ENSG00000149256.,CHEK1..ENSG00000149554.,SOGA1..ENSG00000149639.,CDH8..ENSG00000150394.,ABCB9..ENSG00000150967.,DCP1B..ENSG00000151065.,ANK3..ENSG00000151150.,DIP2C..ENSG00000151240.,AKAP6..ENSG00000151320.,MSGN1..ENSG00000151379.,DST..ENSG00000151914.,SCHIP1..ENSG00000151967.,CAMK4..ENSG00000152495.,UTRN..ENSG00000152818.,RBMS1..ENSG00000153250.,ASAP1..ENSG00000153317.,CMIP..ENSG00000153815.,MSI2..ENSG00000153944.,BTG3..ENSG00000154640.,XPC..ENSG00000154767.,PSD3..ENSG00000156011.,KCNMA1..ENSG00000156113.,RPGR..ENSG00000156313.,HK1..ENSG00000156515.,PRG3..ENSG00000156575.,FCHO2..ENSG00000157107.,NRG1..ENSG00000157168.,CCNB2..ENSG00000157456.,KCNJ15..ENSG00000157551.,SKI..ENSG00000157933.,AGAP1..ENSG00000157985.,AUTS2..ENSG00000158321.,RUNX1..ENSG00000159216.,BTG2..ENSG00000159388.,RGS12..ENSG00000159788.,KALRN..ENSG00000160145.,HSF2BP..ENSG00000160207.,VAV2..ENSG00000160293.,S100B..ENSG00000160307.,LMNA..ENSG00000160789.,RECQL4..ENSG00000160957.,FDXR..ENSG00000161513.,SHANK2..ENSG00000162105.,LRP5..ENSG00000162337.,DHRS3..ENSG00000162496.,ATF3..ENSG00000162772.,DENND2D..ENSG00000162777.,IER5..ENSG00000162783.,CAPN2..ENSG00000162909.,CDC42EP3..ENSG00000163171.,TGFA..ENSG00000163235.,NEK10..ENSG00000163491.,FBLN2..ENSG00000163520.,NUAK2..ENSG00000163545.,IFI16..ENSG00000163565.,PTPN13..ENSG00000163629.,PRICKLE2..ENSG00000163637.,RBM47..ENSG00000163694.,PLB1..ENSG00000163803.,RPL39L..ENSG00000163923.,TKT..ENSG00000163931.,ARHGEF3..ENSG00000163947.,PLXNB1..ENSG00000164050.,DUSP7..ENSG00000164086.,CASP3..ENSG00000164305.,TERT..ENSG00000164362.,STK17A..ENSG00000164543.,GALNT10..ENSG00000164574.,PTTG1..ENSG00000164611.,BMPER..ENSG00000164619.,DLC1..ENSG00000164741.,CSMD3..ENSG00000164796.,SPIDR..ENSG00000164808.,FOXK1..ENSG00000164916.,AQP3..ENSG00000165272.,WRN..ENSG00000165392.,RNASE7..ENSG00000165799.,E2F7..ENSG00000165891.,AMOTL1..ENSG00000166025.,RIC3..ENSG00000166405.,MCM7..ENSG00000166508.,CLEC3A..ENSG00000166509.,RRAD..ENSG00000166592.,PLK1..ENSG00000166851.,STAT6..ENSG00000166888.,SMAD3..ENSG00000166949.,RBFOX3..ENSG00000167281.,TEPSIN..ENSG00000167302.,ANKRD11..ENSG00000167522.,AXL..ENSG00000167601.,TRAPPC9..ENSG00000167632.,NXN..ENSG00000167693.,KRT80..ENSG00000167767.,DDB1..ENSG00000167986.,CTNNB1..ENSG00000168036.,DDIT4..ENSG00000168209.,RBPJ..ENSG00000168214.,GNG4..ENSG00000168243.,IRF2BP2..ENSG00000168264.,BDKRB2..ENSG00000168398.,MTCL1..ENSG00000168502.,STAT3..ENSG00000168610.,GDNF..ENSG00000168621.,LDLRAD4..ENSG00000168675.,ADRB2..ENSG00000169252.,PTK2..ENSG00000169398.,COL22A1..ENSG00000169436.,ANTXR1..ENSG00000169604.,ASPSCR1..ENSG00000169696.,ITGAM..ENSG00000169896.,CDK1..ENSG00000170312.,FRMPD2..ENSG00000170324.,ADORA2B..ENSG00000170425.,TRIAP1..ENSG00000170855.,TANC2..ENSG00000170921.,DCDC1..ENSG00000170959.,TSNARE1..ENSG00000171045.,PRKCE..ENSG00000171132.,MCC..ENSG00000171444.,ZNF561..ENSG00000171469.,TBCA..ENSG00000171530.,BCL2L1..ENSG00000171552.,ENC1..ENSG00000171617.,BCL2..ENSG00000171791.,PTEN..ENSG00000171862.,FRMD5..ENSG00000171877.,TLN2..ENSG00000171914.,FGGY..ENSG00000172456.,TCEAL1..ENSG00000172465.,ZMAT3..ENSG00000172667.,TMEM217..ENSG00000172738.,MYEOV..ENSG00000172927.,RELA..ENSG00000173039.,CHD2..ENSG00000173575.,SLC19A1..ENSG00000173638.,PLK3..ENSG00000173846.,XXYLT1..ENSG00000173950.,PHLDA3..ENSG00000174307.,ATP2A2..ENSG00000174437.,HRAS..ENSG00000174775.,ZDHHC14..ENSG00000175048.,SUGCT..ENSG00000175600.,SFN..ENSG00000175793.,BAIAP2..ENSG00000175866.,DLEU1..ENSG00000176124.,CCDC57..ENSG00000176155.,TYMS..ENSG00000176890.,EFCAB5..ENSG00000176927.,CHD9..ENSG00000177200.,ZBTB38..ENSG00000177311.,PLEC..ENSG00000178209.,ERBB4..ENSG00000178568.,CTC1..ENSG00000178971.,RCC2..ENSG00000179051.,SERTAD2..ENSG00000179833.,NRXN1..ENSG00000179915.,SSTR2..ENSG00000180616.,CUEDC1..ENSG00000180891.,AEN..ENSG00000181026.,ZBTB20..ENSG00000181722.,ADGRB1..ENSG00000181790.,ERCC6L2..ENSG00000182150.,RAD51B..ENSG00000182185.,EXT1..ENSG00000182197.,TRAK1..ENSG00000182606.,PLCB1..ENSG00000182621.,NTM..ENSG00000182667.,ANXA2..ENSG00000182718.,GAS6..ENSG00000183087.,GPC6..ENSG00000183098.,CSMD1..ENSG00000183117.,IZUMO1R..ENSG00000183560.,PCBP3..ENSG00000183570.,CHEK2..ENSG00000183765.,KCNH8..ENSG00000183960.,UBE2F..ENSG00000184182.,KCNJ12..ENSG00000184185.,EFNA5..ENSG00000184349.,ZBTB7C..ENSG00000184828.,SORCS2..ENSG00000184985.,SIVA1..ENSG00000184990.,RPS27L..ENSG00000185088.,FAF1..ENSG00000185104.,HSF1..ENSG00000185122.,SMYD3..ENSG00000185420.,PBX1..ENSG00000185630.,ZFP36L1..ENSG00000185650.,RASA3..ENSG00000185989.,ANKRD37..ENSG00000186352.,CYP4F3..ENSG00000186529.,PRR5..ENSG00000186654.,FAM183A..ENSG00000186973.,MAGI2..ENSG00000187391.,THSD4..ENSG00000187720.,TPRG1..ENSG00000188001.,DCUN1D3..ENSG00000188215.,IDO2..ENSG00000188676.,ALKBH2..ENSG00000189046.,LITAF..ENSG00000189067.,KAZN..ENSG00000189337.,PAX5..ENSG00000196092.,SPATS2L..ENSG00000196141.,EPHB4..ENSG00000196411.,NCOR2..ENSG00000196498.,PRPF40A..ENSG00000196504.,SULF2..ENSG00000196562.,PLXNB2..ENSG00000196576.,MMP1..ENSG00000196611.,TCF4..ENSG00000196628.,COL27A1..ENSG00000196739.,S100A2..ENSG00000196754.,TLE1..ENSG00000196781.,MVB12B..ENSG00000196814.,ANXA4..ENSG00000196975.,SRC..ENSG00000197122.,SVIL..ENSG00000197321.,HTT..ENSG00000197386.,MYO5A..ENSG00000197535.,SIPA1L1..ENSG00000197555.,MDS2..ENSG00000197880.,PLCG2..ENSG00000197943.,KEL..ENSG00000197993.,ATL1..ENSG00000198513.,MDM4..ENSG00000198625.,SMOC1..ENSG00000198732.,CDC42BPB..ENSG00000198752.,MUC2..ENSG00000198788.,PRC1..ENSG00000198901.,DMD..ENSG00000198947.,INPP5B..ENSG00000204084.,PHACTR4..ENSG00000204138.,LINC00474..ENSG00000204148.,IPO7..ENSG00000205339.,SERPINB5..ENSG00000206075.,CHUK..ENSG00000213341.,IQCJ..ENSG00000214216.,NME1..ENSG00000239672.,TDGF1..ENSG00000241186.,BGLAP..ENSG00000242252.,MICAL3..ENSG00000243156.,FMN1..ENSG00000248905.,GATC..ENSG00000257218.,CUX1..ENSG00000257923.,BAHCC1..ENSG00000266074.,PRAG1..ENSG00000275342.,UHRF1..ENSG00000276043.
1__639V_URINARY_TRACT_Missense_Mutation_c.(742-744)cGg>cAg_False,3102,8389,0,3,3104,1698,5130,1687,4486,1,3370,2100,33,33,4530,33904,29170,33048,2573,3286,5650,3428,5428,758,107,9044,2012,4727,4968,0,702,97,10247,1167,4372,6306,7127,7640,275,4217,5548,398,2164,332420,762,1132,3198,1349,1663,1702,981,3848,7212,3272,13566,9,3752,1262,6168,1378,604,3996,241900,343,5638,153,7546,3956,4042,4232,2241,3091,184,31,7078,747,29636,16065,4845,19532,260,1176,4886,88,28880,10987,567,25,2,1271,224630,3290,6198,4448,6117,7074,2617,0,101630,1471,20708,5188,4873,108,4521,2337,1,5893,936,4204,2,3430,3659,978,1,0,1867,0,35135,62,1007,47175,0,5,1651,2637,9306,16736,9066,41,5,10888,6265,1561,1193,1335,1519,165,5303,377,83,37739,1611,2235,756,4237,1208,3,4099,26806,1942,25612,4867,0,1544,1238,631,133,3455,4078,10300,10473,5510,465,14587,9574,132,2944,8880,4501,7306,1106,1691,20201,8128,13496,6482,1005,5118,636,437,6622,7853,9210,5964,5066,3703,2095,3205,159,950,11357,1189,336,11012,6859,28,340,408,32106,1317,6086,2067,7368,6374,4828,6246,5233,1161,3645,93,13809,841,101460,8,1254,1153,2920,7800,1153,2,426,21888,3169,23,4661,624,1363,8093,1850,4986,2236,31,106,591,2221,27807,755,123,5090,5240,3720,2469,74,5424,778,25368,0,25476,2943,311,2883,3292,25674,7949,12,1133,2578,892,363,1023,2768,70,13904,4346,11,4203,3058,154,35,3941,4494,1,6751,1557,151,1889,1846,7167,1041,3724,10,2203,1674,4229,5224,2479,2408,3267,5,17,774,4461,1954,7,8371,9085,18341,10288,4436,6,8214,2975,32438,19,16521,11,2033,3766,392,2817,18,0,1491,8455,2310,9069,658,773,1850,42,1141,100,400,0,1321,58,0,225,3528,1278,62231,2,1,5692,13665,18,788,703,35,2398,28,0,24145,257,153,3779,1988,8427,2535,3241,2911,3281,150,7,793,16906,0,1101,67,8785,1,4195,3549,6,4624,1094,1045,43,78,3002,2,12578,6628,1102,6,6398,414,2186,31,2032,21312,2379,64,159,4,172,2306,1418,39,197,12,2,34313,976,6212,2857,2437,293,3998,3653,9484,6,5694,18,4026,4052,65,1967,0,2150,7430,1,35130,0,9,14941,906,3833,3,1051,10605,36591,2125,2808,982,35017,33621,2707,3586,494,2194,21,4962,8825,193,10,49,9436,2,5381,1847,2,9561,0,1585,1715,1187,14,461,1022,798,1617,6457,9883,2870,611,4300,636,1029,146,1203,1753,53,2179,5609,7684,4865,871,1288,362,22433,3849,985,150,5846,2377,911,1538,15956,7,2948,1080,38152,4,1061,8151,4466,1,104,1271,2847,116,1,1504,312,4844,4312,3,0,74806,5187,761,0,0,119,1770,0,2004,4,730,6,5,6597,1611,5492,6308,1162,31,10138,2360,314,13,471,3,77,1141,15,579,0,1571,2334,4,130,4300,5506,7477,9360,58,11855,795,1791,3203,131,188,927,1140,4711,488,9217,6477,4953,0,94,4,750,1867,12,8652,20,19486,90,710,3281,0,28636,66,4377,15,19956,0,9,8144,3539,2944,6288,3160,140,23040
1__BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_Missense_Mutation_c.(742-744)cGg>cAg_False,5645,312,0,14,4925,35,4856,1110,10004,6710,11,1839,43,17938,23316,1029,1221,13761,5947,8,9323,338,653,6610,7,13728,24347,2847,11887,0,609,235,6995,29,7083,2226,17699,114,10,13501,4044,20,4600,230540,6,595,3399,564,7276,869,333,1533,1795,11679,14981,55,3808,6,16,0,5,1821,348210,4,7323,15,9199,10734,9530,3289,16,526,12,9,5208,1655,24905,110,1659,15445,527,4,5692,24,59445,10928,12,4,125,700,349190,8819,4482,1056,1274,4013,1865,7,49792,4,22424,2858,8367,27,3530,3580,2,9628,20,1505,138,3303,8140,1121,2,0,3324,3,26373,44,599,58834,0,0,2793,11753,82,70,15531,567,4,50,17653,2,426,208,2072,5,14114,5096,9,10,73,3546,59,8845,2956,3,1725,117,541,10139,1130,0,2714,150,562,5,4910,3925,21,3992,2141,52,7933,11798,7,4248,2484,1691,1604,2753,71,6107,1602,14581,40,3691,1786,984,249,2368,6844,20395,5606,5043,814,125,2197,37,338,9990,1087,55,153,9418,6,8,112,525,1630,1153,118,3755,45,5714,6604,133,1761,1105,21,8560,595,322,9,3398,1122,2685,570,1931,1,2,10125,6009,8,12,2,30,2368,1597,8789,376,19,47,995,27,48682,566,10529,10067,7372,4628,3140,1396,2281,2810,38186,0,6337,2,65,726,18,15397,57,41,10,417,118,2656,1501,135,39,18457,9408,1152,5485,3376,5361,132,28,8633,1,11248,63,18,239,5,12151,2251,3028,3,5631,5323,63,9202,4129,2319,2657,8,6,137,4691,2534,12,11337,174,7432,8747,16932,3,35,258,255,0,43030,356,2056,6030,7,2313,423,0,5390,10119,9,32,6149,584,7,2,2114,71,4,4,136,107,0,16,1834,14,69022,6,3,7070,2207,4,151,762,22,2969,29,0,72,0,5467,753,1807,1713,5028,17582,1163,2727,967,6,686,5408,0,203,5,8415,1,1008,16,4363,4056,10965,303,6,40,29,8,170,22722,408,6,628,11,10,997,1824,83,795,14,23,1,747,27055,14,57,1048,3,1195,34354,1662,218,2431,4215,4454,2775,1933,6036,1,11,0,2565,6447,1393,1905,0,847,2112,0,107710,1,7,12822,14116,5299,8,1678,20210,26,1089,235,28,34721,8607,1654,4714,9,2232,1,2045,2386,3,908,79,218,2,9,1881,1,8310,2,5,3688,708,0,2935,1987,31,1398,9835,3282,1767,1851,3384,247,450,82,7,1603,10,13,5848,10445,5841,558,1454,3,28902,2088,288,17,48,56,2042,1423,20154,49,4456,3559,17604,6,2010,37003,3413,1,68,9,9412,44,8,770,361,256,6158,895,2,13098,122,7,393,0,0,2167,35,1911,38,182,1,0,6430,2247,5452,12912,969,21,4245,808,331,4,549,0,21,9,1,360,0,2794,2609,2,32687,866,452,7952,14195,28,1186,96,7319,4,17,775,54,31,27,23,10509,5834,2720,107,30000,4,241,4262,7,1934,7,11391,2034,2391,2777,0,21318,7,3430,0,27227,0,33,8346,40,4463,23703,133,4115,38105
1__CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_Missense_Mutation_c.(742-744)cGg>cAg_False,6967,2113,0,113,8180,115,3648,2871,7615,6994,585,1990,59,10904,5738,4651,756,11952,11579,20,16865,1602,877,8804,4,19936,37369,7221,9069,0,1066,115,7500,719,7525,1891,3542,143,25,7352,2932,307,6604,40551,102,1414,5369,987,6196,1913,455,2919,3276,3775,12294,646,6032,3,19,1,36,2751,55443,7,6161,22,27871,9141,11505,1573,24,20,20,3,5364,2127,17899,123,3357,5218,914,5,2622,23,26208,7392,5,29,118,2263,91614,6940,3615,2341,2129,5088,1311,11,22692,34,33966,6629,11566,2100,5243,6311,7,5188,86,1580,1657,3877,2731,2026,0,0,1791,2,17162,2399,2229,54447,1,1,8864,20995,78,68,9504,1739,11,182,8783,5,294,319,5265,7,47269,2006,151,15,792,4903,115,7330,2864,758,4891,118,1118,6619,4069,2,3368,502,1884,10,3161,2752,43,7248,3445,232,9580,14032,14,3631,5457,970,341,6116,415,7160,1426,32515,58,3792,10626,185,1345,2657,4434,23617,4142,5996,1602,493,5124,73,1406,8638,2253,102,360,9820,28,582,138,216,1938,7251,2193,7130,57,4646,2131,483,2719,1861,12,12640,637,397,22,3250,3273,3589,79,1775,0,94,11839,8883,8,25,5,462,2381,3631,28540,18,24,58,2649,21,25877,501,13329,24303,6744,7013,2514,3334,3266,2056,6620,0,11218,1,444,3405,30,5526,285,537,142,1698,372,1413,3214,3702,154,8264,17300,1633,8534,2952,1085,110,1302,8176,3,29350,96,29,211,11,9542,5268,3767,3,4506,12282,171,8521,4810,1517,2911,5,12,1125,4146,2525,281,16571,163,4564,5601,12013,57,117,892,144,2,33879,19245,6155,5627,1,6445,777,0,12285,7709,6,38,5177,1428,13,29,7997,81,11,80,188,205,0,8,2338,351,33670,1,2,3862,2866,0,807,627,108,7466,503,0,134,5,7213,3586,1689,3281,5921,29907,749,6809,628,10,1291,5411,0,160,8,4824,1,1100,20,7786,5000,15072,376,6,203,1848,12,1191,2450,795,3,1291,19,753,2068,1648,72,1252,8,36,0,1121,27013,23,25,1058,12,2188,21329,642,110,779,3103,1842,2330,2392,2624,26,7,0,4483,4249,725,3977,1,630,3730,2,33775,2,6,9105,10856,4484,12,3553,32933,35,1294,165,194,13565,10996,7822,6480,259,3881,324,1192,2440,2,4052,4,2059,5,15,2997,16,6575,8,26,3016,95,25,1304,1693,100,2851,8921,5391,677,3893,11177,129,1418,434,2,1566,41,48,4262,39738,2688,205,1459,8,17946,820,815,31,45,48,3706,2167,3669,62,11920,1078,9363,7,4557,31560,4591,3,128,15,3179,730,31,1886,897,403,7821,6,3,4076,92,6,664,1,36,1678,71,1565,4,170,5,3,4021,1625,5864,5688,1766,39,4688,1991,548,3,51,0,141,43,2,470,0,2907,5644,152,37301,473,1105,10735,14968,140,8352,127,20778,19,29,85,185,124,21,22,9960,4867,2252,191,32010,22,607,21608,4,4224,6,6592,1335,5519,3083,0,13440,6,3426,0,10031,0,34,6574,234,4132,18149,265,1580,4790
